nome,genero,data_nascimento,salario_bruto,quant_viagem,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
FLÁVIA CARREIRO ALBUQUERQUE MORAIS,F,26/04/1969,"R$
                                                            33.763,00",0,86 dias,0 dias,6 dias,123 reuniões,0 reuniões,4 reuniões,"R$ 296.315,47","R$ 31.961,04","R$ 33.702,59","R$ 35.431,93","R$ 33.636,11","R$ 33.829,17","R$ 29.972,17","R$ 26.739,93","R$ 26.234,48","R$ 22.945,49","R$ 21.783,99","R$ 78,57",,"110.555,68","110.555,68","110.555,68","110.555,68","111.091,22","110.994,42","111.182,00","111.580,78","111.580,78","111.580,78",,
Geovânia de Sá,F,30/03/1972,"R$
                                                            33.763,00",0,91 dias,0 dias,1 dias,15 reuniões,0 reuniões,0 reuniões,"R$ 308.059,34","R$ 24.548,31","R$ 31.895,95","R$ 46.155,40","R$ 48.301,66","R$ 38.575,18","R$ 41.038,25","R$ 24.556,46","R$ 10.926,74","R$ 3.937,68","R$ 25.683,39","R$ 12.440,32",,"111.111,81","111.610,95","111.659,69","111.659,69","110.768,99","110.692,78","103.468,98","111.168,24","111.168,24","106.547,85",,
IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,F,23/04/1966,"R$
                                                            33.763,00",0,35 dias,4 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,"R$ 160.103,58","R$ 33.126,14","R$ 37.905,45","R$ 54.717,25","-R$ 799,73",,,,"R$ 17.561,17","R$ 8.098,80","R$ 9.441,57","R$ 52,93",,"111.653,55","110.382,33","111.176,32","111.235,02","111.235,02","111.235,02","111.235,02","111.235,02","111.304,78","111.653,55",,
JESSICA ROJAS SALES,F,28/11/1980,"R$
                                                            33.763,00",0,42 dias,5 dias,45 dias,0 reuniões,2 reuniões,16 reuniões,"R$ 372.946,86","R$ 36.557,22","R$ 42.553,73","R$ 47.072,55","R$ 56.770,07","R$ 58.428,19","R$ 3.133,62","R$ 11.486,12","R$ 8.024,13","R$ 2.921,23","R$ 106.000,00",,,"111.568,56","111.568,56","111.568,56","111.568,56","111.568,56","111.568,56","111.568,56","111.571,11","111.647,46","111.647,46",,
DIRLAINE JAQUELINE CASSOL,F,03/12/1974,"R$
                                                            33.763,00",0,81 dias,3 dias,8 dias,47 reuniões,15 reuniões,8 reuniões,"R$ 301.704,59","R$ 38.881,19","R$ 35.836,11","R$ 33.841,17","R$ 57.249,08","R$ 71.115,17","R$ 20.997,72","R$ 21.444,70","R$ 11.534,22","R$ 2.240,92","R$ 7.424,00","R$ 1.140,31",,"111.665,59","111.362,29","107.986,55","110.884,32","111.208,12","110.180,25","108.177,15","110.472,02","111.321,85","108.397,68",,
JOICE CRISTINA HASSELMANN,F,29/01/1978,"R$
                                                            33.763,00",0,87 dias,0 dias,5 dias,57 reuniões,3 reuniões,3 reuniões,"R$ 301.731,55","R$ 25.636,10","R$ 21.173,13","R$ 72.944,98","R$ 50.332,77","R$ 44.859,38","R$ 25.702,26","R$ 16.939,86","R$ 18.265,67","R$ 20.711,16","R$ 5.166,24",,,"99.430,88","106.641,61","98.487,95","101.062,57","108.786,73","110.597,86","108.539,98","102.509,19","97.950,82","97.950,82",,
LAURIETE RODRIGUES DE JESUS,F,23/02/1970,"R$
                                                            33.763,00",0,89 dias,0 dias,3 dias,48 reuniões,2 reuniões,2 reuniões,"R$ 275.072,63","R$ 28.596,39","R$ 36.787,02","R$ 28.706,65","R$ 38.112,66","R$ 49.288,05","R$ 30.104,05","R$ 18.543,11","R$ 15.764,41","R$ 15.009,24","R$ 7.961,74","R$ 6.199,31",,"104.287,85","105.889,29","107.644,06","107.644,06","107.976,91","100.506,22","110.346,11","111.471,61","111.471,61","111.471,61",,
LEDA MARIA SADALA BRITO,F,11/06/1966,"R$
                                                            33.763,00",0,72 dias,2 dias,18 dias,24 reuniões,15 reuniões,8 reuniões,"R$ 359.497,14","R$ 32.892,40","R$ 30.026,99","R$ 55.796,31","R$ 53.049,21","R$ 51.266,85","R$ 41.748,71","R$ 31.911,86","R$ 37.292,55","R$ 15.145,93","R$ 10.021,33","R$ 345,00",,"111.429,13","111.306,30","109.662,60","107.931,96","110.017,93","110.446,45","110.633,94","109.994,10","111.659,63","108.861,12",,
LÍDICE DA MATA E SOUZA,F,12/03/1956,"R$
                                                            33.763,00",0,89 dias,0 dias,3 dias,56 reuniões,0 reuniões,4 reuniões,"R$ 314.013,21","R$ 24.968,53","R$ 36.055,08","R$ 41.685,69","R$ 36.945,93","R$ 64.741,89","R$ 25.591,94","R$ 29.647,64","R$ 17.038,04","R$ 9.156,67","R$ 25.337,58","R$ 2.844,22",,"105.717,75","109.880,24","107.918,25","107.472,66","111.089,52","111.089,52","111.089,52","111.089,52","111.089,52","111.089,52",,
LUISA CANZIANI DOS SANTOS SILVEIRA,F,11/04/1996,"R$
                                                            33.763,00",0,82 dias,10 dias,0 dias,18 reuniões,48 reuniões,0 reuniões,"R$ 294.512,99","R$ 27.680,49","R$ 45.240,66","R$ 38.296,02","R$ 34.716,65","R$ 40.742,27","R$ 35.801,06","R$ 23.760,78","R$ 18.969,09","R$ 8.973,68","R$ 13.325,09","R$ 7.007,20",,"111.489,76","107.944,29","101.185,89","106.123,31","110.764,80","108.871,95","100.476,78","99.154,41","109.664,15","110.012,04",,
JANDIRA FEGHALI,F,17/05/1957,"R$
                                                            33.763,00",0,91 dias,1 dias,0 dias,41 reuniões,28 reuniões,0 reuniões,"R$ 304.962,13","R$ 16.677,60","R$ 41.606,05","R$ 42.043,96","R$ 41.561,42","R$ 33.766,08","R$ 35.266,15","R$ 30.544,63","R$ 18.967,72","R$ 23.146,67","R$ 20.529,15","R$ 852,70",,"111.186,43","110.346,75","110.883,15","110.883,15","110.883,15","110.883,15","106.843,71","109.640,24","105.683,13","103.792,22",,
AIRTON LUIZ FALEIRO,M,16/03/1959,"R$
                                                            33.763,00",0,80 dias,10 dias,2 dias,39 reuniões,34 reuniões,1 reuniões,"R$ 322.175,70","R$ 35.394,75","R$ 15.750,75","R$ 52.334,70","R$ 69.448,32","R$ 59.994,95","R$ 30.701,91","R$ 23.743,07","R$ 13.560,75","R$ 10.000,01","R$ 11.246,49",,,"110.495,06","109.093,86","108.711,72","110.056,29","111.289,65","111.289,65","111.289,65","111.289,65","111.289,65","111.289,65",,
JOSE ABILIO SILVA DE SANTANA,M,13/02/1965,"R$
                                                            33.763,00",0,74 dias,0 dias,0 dias,14 reuniões,10 reuniões,0 reuniões,"R$ 247.344,95","R$ 33.227,00","R$ 39.252,23","R$ 40.431,29","R$ 42.361,77","R$ 47.223,74","R$ 35.504,89","R$ 9.344,03",,,,,,"111.465,40","110.533,22","110.100,41","110.786,04","110.880,16","111.233,47","110.081,76","111.544,21","110.215,80","111.481,28",,
PAULO SERGIO ABOU ANNI,M,06/11/1966,"R$
                                                            33.763,00",0,87 dias,2 dias,3 dias,22 reuniões,13 reuniões,1 reuniões,"R$ 302.280,85","R$ 27.405,24","R$ 16.072,33","R$ 68.763,27","R$ 67.772,79","R$ 75.533,07","R$ 13.287,62","R$ 13.475,02","R$ 2.147,73","R$ 3.052,73","R$ 13.667,56","R$ 1.103,49",,"110.146,28","109.221,14","108.215,19","111.647,46","111.647,46","111.647,46","111.520,66","110.906,26","111.574,67","109.554,95",,
ALCEU MOREIRA DA SILVA,M,04/06/1954,"R$
                                                            33.763,00",0,79 dias,3 dias,10 dias,25 reuniões,4 reuniões,6 reuniões,"R$ 336.538,90","R$ 33.409,67","R$ 47.543,73","R$ 66.396,79","R$ 41.576,56","R$ 28.880,58","R$ 28.442,87","R$ 24.547,55","R$ 21.775,28","R$ 18.521,58","R$ 23.710,83","R$ 1.733,46",,"111.429,24","111.429,24","111.389,34","109.930,00","111.580,90","111.595,06","111.376,03","111.097,00","104.210,91","105.060,12",,
AGUINALDO VELLOSO BORGES RIBEIRO,M,13/02/1969,"R$
                                                            33.763,00",0,69 dias,1 dias,5 dias,14 reuniões,10 reuniões,3 reuniões,"R$ 240.198,29","R$ 15.195,95","R$ 42.563,48","R$ 38.064,38","R$ 47.346,47","R$ 40.346,90","R$ 35.149,41","R$ 21.531,70",,,,,,"111.119,73","111.119,73","111.119,73","111.119,73","111.119,73","111.119,73","111.119,73","111.119,73","111.119,73","111.119,73",,
ADOLFO VIANA DE CASTRO NETO,M,02/02/1981,"R$
                                                            33.763,00",0,74 dias,0 dias,18 dias,3 reuniões,2 reuniões,0 reuniões,"R$ 325.687,23","R$ 52.708,80","R$ 40.019,47","R$ 45.679,91","R$ 28.915,46","R$ 51.013,39","R$ 21.158,76","R$ 53.593,14","R$ 17.135,90","R$ 6.189,67","R$ 9.272,73",,,"99.324,67","102.260,18","104.117,05","105.126,72","105.126,72","104.072,48","102.746,18","105.126,72","105.126,72","105.666,38",,
AFONSO BANDEIRA FLORENCE,M,15/10/1960,"R$
                                                            33.763,00",0,79 dias,0 dias,13 dias,7 reuniões,15 reuniões,2 reuniões,"R$ 326.342,20","R$ 49.117,18","R$ 40.471,77","R$ 63.232,46","R$ 51.564,67","R$ 16.600,90","R$ 32.319,33","R$ 21.335,62","R$ 19.915,04","R$ 12.458,57","R$ 19.326,66",,,"111.448,69","111.580,78","111.503,72","111.580,81","111.279,06","111.350,26","110.053,76","111.653,57","111.653,58","111.653,58",,
ALEXANDRE ROCHA SANTOS PADILHA,M,14/09/1971,"R$
                                                            33.763,00",0,90 dias,1 dias,1 dias,87 reuniões,27 reuniões,6 reuniões,"R$ 291.230,47","R$ 28.905,73","R$ 34.326,01","R$ 51.157,02","R$ 37.221,27","R$ 45.106,22","R$ 23.223,65","R$ 21.479,04","R$ 9.118,10","R$ 10.932,37","R$ 29.600,66","R$ 160,40",,"111.641,51","111.641,51","111.641,51","111.641,51","111.641,51","111.641,51","110.013,14","111.641,51","111.641,51","111.641,51",,
ALAN RICK MIRANDA,M,23/10/1976,"R$
                                                            33.763,00",0,68 dias,3 dias,4 dias,25 reuniões,6 reuniões,4 reuniões,"R$ 260.266,82","R$ 25.341,00","R$ 49.605,50","R$ 42.101,87","R$ 52.911,63","R$ 58.520,65","R$ 22.071,70","R$ 9.714,47",,,,,,"101.892,42","102.534,86","102.426,62","104.157,16","111.523,01","109.314,55","111.605,00","111.605,00","111.605,00","111.605,00",,
ALCIDES RODRIGUES FILHO,M,08/10/1950,"R$
                                                            33.763,00",0,88 dias,4 dias,0 dias,51 reuniões,9 reuniões,0 reuniões,"R$ 353.296,43","R$ 8.890,42","R$ 41.162,85","R$ 42.491,68","R$ 43.132,46","R$ 49.169,45","R$ 47.869,00","R$ 38.484,01","R$ 34.961,71","R$ 43.557,10","R$ 2.541,76","R$ 1.035,99",,"97.480,30","101.596,46","101.596,46","103.343,42","109.370,27","111.049,41","111.532,25","111.532,25","111.532,25","111.532,25",,
ALEXANDRE LEITE DA SILVA,M,18/04/1989,"R$
                                                            33.763,00",0,87 dias,0 dias,5 dias,56 reuniões,8 reuniões,0 reuniões,"R$ 349.284,05","R$ 36.267,67","R$ 43.626,71","R$ 33.452,69","R$ 51.312,23","R$ 48.150,79","R$ 46.525,13","R$ 23.552,93","R$ 23.766,20","R$ 20.428,05","R$ 22.201,65",,,"93.571,49","93.571,49","93.571,49","94.428,17","94.899,88","94.899,88","96.331,01","98.874,32","93.874,72","93.874,72",,
ACÁCIO DA SILVA FAVACHO NETO,M,28/09/1983,"R$
                                                            33.763,00",0,62 dias,0 dias,30 dias,7 reuniões,13 reuniões,10 reuniões,"R$ 374.453,68","R$ 55.593,56","R$ 68.164,59","R$ 36.043,19","R$ 33.949,34","R$ 34.152,00","R$ 31.013,23","R$ 28.767,50","R$ 36.398,45","R$ 24.232,90","R$ 26.138,92",,,"111.580,74","110.219,17","111.580,74","111.580,74","111.616,38","111.344,83","104.998,59","107.400,25","111.241,11","111.241,11",,
ADRIANO ANTÔNIO AVELAR,M,06/09/1969,"R$
                                                            33.763,00",0,84 dias,1 dias,7 dias,9 reuniões,0 reuniões,0 reuniões,"R$ 240.672,02","R$ 26.827,37","R$ 31.162,48","R$ 34.102,08","R$ 32.659,20","R$ 43.822,18","R$ 18.733,88","R$ 26.482,48","R$ 14.069,31","R$ 6.697,41","R$ 6.115,63",,,"109.773,26","106.916,25","106.916,25","107.440,95","110.064,42","109.807,22","110.492,94","109.977,54","110.064,42","110.064,42",,
AELTON JOSÉ DE FREITAS,M,15/12/1961,"R$
                                                            33.763,00",0,83 dias,7 dias,2 dias,22 reuniões,14 reuniões,2 reuniões,"R$ 371.470,66","R$ 37.592,87","R$ 44.508,37","R$ 46.095,45","R$ 33.084,47","R$ 49.928,24","R$ 19.715,12","R$ 38.644,85","R$ 22.680,38","R$ 19.806,39","R$ 58.251,64","R$ 1.162,88",,"111.326,04","111.343,59","111.629,35","111.629,35","111.457,94","111.397,84","107.361,35","107.874,60","107.874,60","110.127,53",,
ALENCAR SANTANA BRAGA,M,14/03/1976,"R$
                                                            33.763,00",0,80 dias,0 dias,12 dias,22 reuniões,0 reuniões,1 reuniões,"R$ 278.800,02","R$ 34.345,52","R$ 35.493,58","R$ 35.440,42","R$ 38.514,90","R$ 38.770,46","R$ 18.197,70","R$ 26.020,76","R$ 6.807,71","R$ 1.491,64","R$ 43.114,24","R$ 603,09",,"111.647,56","108.748,11","110.276,93","111.574,82","111.574,82","111.574,82","111.574,82","110.900,35","111.538,44","111.013,26",,
ALEX MARCO SANTANA SOUSA,M,22/06/1972,"R$
                                                            33.763,00",0,79 dias,5 dias,8 dias,11 reuniões,10 reuniões,5 reuniões,"R$ 351.477,62","R$ 36.828,58","R$ 40.726,95","R$ 45.254,75","R$ 45.428,67","R$ 30.562,91","R$ 32.839,29","R$ 36.321,00","R$ 33.993,98","R$ 23.336,07","R$ 26.043,82","R$ 141,60",,"110.321,85","111.060,20","110.244,74","111.574,72","111.574,72","111.574,72","111.574,72","111.574,72","111.574,72","111.574,72",,
ALEX SPINELLI MANENTE,M,22/08/1979,"R$
                                                            33.763,00",0,89 dias,0 dias,3 dias,4 reuniões,4 reuniões,1 reuniões,"R$ 138.846,27","R$ 15.300,72","R$ 26.359,99","R$ 26.151,48","R$ 23.508,22","R$ 16.355,44","R$ 10.874,70","R$ 4.235,82","R$ 9.077,31","R$ 5,81","R$ 6.976,78",,,"111.198,59","111.198,59","111.198,59","110.898,74","111.423,01","111.461,43","110.601,41","111.574,69","111.574,69","111.574,69",,
JOSÉ ALFONSO EBERT HAMM,M,25/04/1962,"R$
                                                            33.763,00",0,82 dias,1 dias,9 dias,23 reuniões,15 reuniões,4 reuniões,"R$ 360.946,22","R$ 26.704,69","R$ 38.280,59","R$ 55.051,73","R$ 63.625,31","R$ 51.839,35","R$ 42.409,07","R$ 42.196,47","R$ 28.571,50","R$ 8.175,08","R$ 2.806,25","R$ 1.286,18",,"111.586,80","111.586,80","111.586,80","109.249,43","111.405,22","111.659,59","111.016,81","111.616,75","111.659,61","111.659,61",,
ALESSANDRO LUCCIOLA MOLON,M,28/10/1971,"R$
                                                            33.763,00",0,91 dias,1 dias,0 dias,12 reuniões,28 reuniões,0 reuniões,"R$ 264.688,99","R$ 31.570,48","R$ 30.384,44","R$ 50.567,81","R$ 42.126,95","R$ 31.402,04","R$ 27.611,34","R$ 29.589,18","R$ 10.440,68","R$ 857,51","R$ 10.138,56",,,"101.372,00","101.372,00","101.372,00","101.372,00","106.377,09","105.013,12","107.668,34","104.046,06","98.184,61","103.661,52",,
AFONSO ANTUNES DA MOTTA,M,08/01/1950,"R$
                                                            33.763,00",0,90 dias,2 dias,0 dias,33 reuniões,16 reuniões,10 reuniões,"R$ 369.824,33","R$ 32.139,72","R$ 33.987,87","R$ 68.366,38","R$ 63.600,42","R$ 35.921,80","R$ 29.311,40","R$ 34.287,44","R$ 24.321,70","R$ 17.123,36","R$ 28.380,57","R$ 2.383,67",,"104.034,98","104.034,98","103.913,86","100.280,23","99.498,32","99.974,51","104.249,61","105.630,26","105.630,26","105.195,87",,
ALEXANDRE FROTA DE ANDRADE,M,14/10/1963,"R$
                                                            33.763,00",0,57 dias,2 dias,33 dias,7 reuniões,0 reuniões,5 reuniões,"R$ 386.296,69","R$ 47.863,87","R$ 40.252,01","R$ 44.806,14","R$ 24.966,69","R$ 42.290,53","R$ 37.104,55","R$ 24.453,51","R$ 44.820,06","R$ 21.506,06","R$ 35.041,99","R$ 23.191,28",,"107.991,60","111.429,16","109.887,26","108.754,73","110.016,99","107.515,45","106.646,50","110.875,93","109.669,60","104.056,34",,
ANTONIO JOSE AGUIAR ALBUQUERQUE,M,26/09/1983,"R$
                                                            33.763,00",0,77 dias,7 dias,8 dias,8 reuniões,8 reuniões,4 reuniões,"R$ 291.592,63","R$ 20.904,41","R$ 48.923,15","R$ 29.493,45","R$ 50.213,67","R$ 61.247,64","R$ 8.046,24","R$ 21.729,25","R$ 18.453,95","R$ 10.715,78","R$ 21.287,81","R$ 577,28",,"111.386,57","111.386,57","111.386,57","111.127,78","111.422,99","111.217,97","109.372,75","91.130,31","101.450,80","100.595,92",,
EMANUEL PINHEIRO DA SILVA PRIMO,M,05/01/1995,"R$
                                                            33.763,00",0,70 dias,19 dias,3 dias,11 reuniões,7 reuniões,1 reuniões,"R$ 260.989,20","R$ 18.918,90","R$ 40.897,04","R$ 43.529,50","R$ 29.158,03","R$ 34.158,66","R$ 52.895,35","R$ 15.688,43","R$ 14.630,60","R$ 825,90","R$ 6.028,96","R$ 4.257,83",,"108.820,92","109.941,35","111.435,25","111.435,25","110.245,56","109.803,54","108.192,76","97.773,24","100.583,45","99.303,35",,
EMIDIO ALVES MADEIRA JUNIOR,M,10/03/1967,"R$
                                                            33.763,00",0,80 dias,0 dias,12 dias,16 reuniões,2 reuniões,4 reuniões,"R$ 300.056,22","R$ 56.761,57","R$ 45.061,77","R$ 39.330,09","R$ 32.196,96","R$ 44.434,07","R$ 26.760,94","R$ 20.847,93","R$ 15.245,77","R$ 11.938,26","R$ 7.418,86","R$ 60,00",,"110.980,22","110.980,22","111.528,12","111.617,15","111.623,22","111.623,22","111.623,28","111.623,32","111.623,32","111.623,32",,
ENIO JOSÉ VERRI,M,27/03/1961,"R$
                                                            33.763,00",0,89 dias,1 dias,2 dias,32 reuniões,4 reuniões,0 reuniões,"R$ 350.522,15","R$ 38.190,58","R$ 37.467,64","R$ 68.879,63","R$ 38.986,43","R$ 43.960,07","R$ 29.704,02","R$ 25.886,97","R$ 22.258,37","R$ 24.764,98","R$ 20.363,46","R$ 60,00",,"111.398,83","111.398,83","111.398,83","110.220,44","110.749,59","110.538,29","111.455,18","110.876,18","111.665,72","111.665,72",,
ENRICO VAN BLARCUM DE GRAAFF MISASI,M,06/08/1994,"R$
                                                            33.763,00",0,87 dias,5 dias,0 dias,43 reuniões,21 reuniões,0 reuniões,"R$ 323.053,98","R$ 24.947,21","R$ 28.095,55","R$ 42.425,59","R$ 43.740,70","R$ 54.222,55","R$ 37.817,19","R$ 41.206,87","R$ 22.642,88","R$ 16.871,36","R$ 11.025,61","R$ 58,47",,"111.586,88","111.302,18","110.816,09","106.788,80","110.974,20","110.159,38","111.013,37","111.312,77","111.544,46","111.493,57",,
EVAIR VIEIRA DE MELO,M,02/04/1972,"R$
                                                            33.763,00",0,87 dias,2 dias,3 dias,67 reuniões,4 reuniões,1 reuniões,"R$ 316.638,70","R$ 38.264,38","R$ 46.197,13","R$ 62.458,72","R$ 38.441,09","R$ 43.315,06","R$ 24.394,91","R$ 23.069,95","R$ 14.844,44","R$ 2.615,55","R$ 22.921,21","R$ 116,26",,"106.904,01","110.527,26","107.201,84","107.178,21","108.042,26","111.172,72","111.328,33","111.555,88","111.526,13","111.526,13",,
FABIO HENRIQUE SANTANA DE CARVALHO,M,19/06/1972,"R$
                                                            33.763,00",0,90 dias,2 dias,0 dias,75 reuniões,22 reuniões,0 reuniões,"R$ 393.613,32","R$ 40.955,79","R$ 38.278,23","R$ 46.688,34","R$ 53.420,14","R$ 51.837,95","R$ 35.534,63","R$ 55.589,55","R$ 49.846,87","R$ 10.956,64","R$ 10.467,67","R$ 37,51",,"110.763,22","111.436,47","110.870,47","105.066,49","109.456,57","110.377,32","111.465,54","111.465,54","111.465,54","111.592,91",,
FABIO CRUZ MITIDIERI,M,24/02/1977,"R$
                                                            33.763,00",0,54 dias,8 dias,10 dias,17 reuniões,19 reuniões,8 reuniões,"R$ 227.041,28","R$ 35.258,61","R$ 43.620,72","R$ 33.042,39","R$ 44.648,72","R$ 45.112,33","R$ 24.812,68","R$ 545,83",,,,,,"109.876,31","106.389,76","109.876,31","109.876,31","109.876,31","107.693,02","97.566,52","111.538,26","111.538,26","111.538,26",,
FABIO DE ALMEIDA REIS,M,15/04/1977,"R$
                                                            33.763,00",0,80 dias,8 dias,4 dias,35 reuniões,1 reuniões,0 reuniões,"R$ 312.655,57","R$ 39.865,80","R$ 33.581,68","R$ 32.144,11","R$ 43.493,01","R$ 38.648,54","R$ 34.772,71","R$ 32.086,43","R$ 21.185,40","R$ 13.796,32","R$ 22.090,53","R$ 991,04",,"108.307,92","109.336,37","109.408,57","111.574,66","111.574,66","111.574,66","111.574,66","111.574,66","111.574,66","110.708,23",,
EXPEDITO GONCALVES FERREIRA NETTO,M,05/10/1988,"R$
                                                            33.763,00",0,82 dias,1 dias,9 dias,2 reuniões,16 reuniões,3 reuniões,"R$ 222.912,39","R$ 14.767,54","R$ 30.093,83","R$ 33.348,33","R$ 30.510,09","R$ 25.416,15","R$ 18.925,02","R$ 27.570,19","R$ 12.641,28","R$ 1.388,85","R$ 26.729,31","R$ 1.521,80",,"111.544,33","111.544,33","111.544,33","111.529,16","111.539,45","111.100,52","109.785,83","109.894,82","110.132,19","100.766,33",,
FÁBIO RICARDO TRAD,M,18/08/1969,"R$
                                                            33.763,00",0,90 dias,1 dias,1 dias,88 reuniões,3 reuniões,0 reuniões,"R$ 152.333,76","R$ 9.479,45","R$ 21.339,35","R$ 11.214,78","R$ 41.034,10","R$ 25.209,13","R$ 12.053,32","R$ 5.465,70","R$ 14.089,48","R$ 2.400,90","R$ 10.011,50","R$ 36,05",,"111.501,88","111.501,88","111.501,88","111.324,76","111.501,88","111.501,88","111.501,88","111.501,88","110.217,75","110.173,47",,
FAUSTO RUY PINATO,M,01/06/1977,"R$
                                                            33.763,00",0,77 dias,3 dias,12 dias,43 reuniões,11 reuniões,11 reuniões,"R$ 338.123,53","R$ 23.272,69","R$ 28.054,73","R$ 37.320,63","R$ 39.811,88","R$ 63.069,18","R$ 29.443,84","R$ 35.430,36","R$ 32.548,24","R$ 26.577,30","R$ 22.521,07","R$ 73,61",,"91.753,84","90.661,58","91.078,38","93.641,40","98.083,43","98.203,30","101.733,13","105.365,38","105.151,12","105.151,12",,
EROS FERREIRA BIONDINI,M,20/05/1971,"R$
                                                            33.763,00",0,88 dias,0 dias,4 dias,33 reuniões,14 reuniões,1 reuniões,"R$ 281.611,85","R$ 22.401,97","R$ 30.438,97","R$ 33.405,69","R$ 31.526,03","R$ 36.712,77","R$ 29.487,20","R$ 35.290,07","R$ 20.709,20","R$ 17.992,30","R$ 21.750,88","R$ 1.896,77",,"90.223,04","90.223,04","86.035,27","78.682,22","79.786,71","78.922,44","78.922,44","79.682,04","86.771,60","86.771,60",,
FELIX DE ALMEIDA MENDONÇA JÚNIOR,M,29/11/1963,"R$
                                                            33.763,00",0,86 dias,0 dias,6 dias,30 reuniões,16 reuniões,8 reuniões,"R$ 324.962,29","R$ 30.256,20","R$ 36.235,51","R$ 35.264,16","R$ 42.584,56","R$ 50.388,49","R$ 23.719,29","R$ 43.121,12","R$ 20.178,34","R$ 14.497,37","R$ 26.697,48","R$ 2.019,77",,"111.574,69","111.574,69","111.574,69","111.574,69","111.574,69","99.983,33","107.556,02","108.772,32","109.170,84","110.100,73",,
FELÍCIO LATERÇA DE ALMEIDA,M,26/05/1967,"R$
                                                            33.763,00",0,84 dias,1 dias,7 dias,103 reuniões,6 reuniões,6 reuniões,"R$ 350.247,62","R$ 33.761,68","R$ 41.861,86","R$ 62.060,32","R$ 40.359,41","R$ 38.642,49","R$ 19.555,55","R$ 31.845,60","R$ 22.935,73","R$ 20.966,82","R$ 36.513,88","R$ 1.744,28",,"103.822,74","108.245,62","111.562,78","109.721,17","92.281,25","106.166,20","108.227,55","109.988,01","108.902,30","111.086,75",,
FÁBIO AUGUSTO RAMALHO DOS SANTOS,M,22/12/1961,"R$
                                                            33.763,00",0,88 dias,4 dias,0 dias,19 reuniões,17 reuniões,0 reuniões,"R$ 289.106,94","R$ 37.959,25","R$ 46.993,70","R$ 34.431,36","R$ 27.698,63","R$ 36.101,94","R$ 23.280,97","R$ 25.058,29","R$ 19.706,66","R$ 17.071,96","R$ 19.557,03","R$ 1.247,15",,"106.849,52","105.995,76","104.102,48","110.337,36","103.699,99","104.762,87","104.762,87","110.775,07","111.665,77","110.131,11",,
FELIPE AUGUSTO LYRA CARRERAS,M,16/04/1975,"R$
                                                            33.763,00",0,77 dias,11 dias,4 dias,70 reuniões,41 reuniões,1 reuniões,"R$ 184.012,22","R$ 14.274,35","R$ 25.074,36","R$ 24.477,74","R$ 14.515,87","R$ 21.740,82","R$ 16.037,40","R$ 21.745,42","R$ 29.974,45","R$ 4.715,52","R$ 11.456,29",,,"108.137,52","111.659,58","111.659,58","111.659,58","111.659,58","111.571,02","109.331,88","111.617,16","111.617,16","111.617,16",,
FELIPE RIGONI LOPES,M,13/06/1991,"R$
                                                            33.763,00",0,86 dias,0 dias,6 dias,84 reuniões,32 reuniões,7 reuniões,"R$ 314.203,45","R$ 41.526,20","R$ 38.040,74","R$ 37.743,41","R$ 40.781,58","R$ 54.439,33","R$ 34.092,96","R$ 18.297,10","R$ 23.638,57","R$ 9.243,23","R$ 14.963,23","R$ 1.437,10",,"97.934,05","100.493,35","100.959,56","100.959,56","104.522,55","89.598,50","80.482,02","93.565,41","93.565,41","99.429,69",,
LUIS FELIPE BONATTO FRANCISCHINI,M,02/10/1991,"R$
                                                            33.763,00",0,86 dias,4 dias,2 dias,26 reuniões,39 reuniões,1 reuniões,"R$ 290.395,16","R$ 36.420,46","R$ 40.851,46","R$ 28.714,76","R$ 44.628,80","R$ 52.025,43","R$ 41.969,22","R$ 15.569,99","R$ 12.110,34","R$ 3.776,09","R$ 14.128,61","R$ 200,00",,"111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","110.754,73","107.237,53","107.993,61",,
Alexis Joseph Steverlynck Fonteyne,M,19/08/1967,"R$
                                                            33.763,00",0,87 dias,5 dias,0 dias,69 reuniões,10 reuniões,0 reuniões,"R$ 176.004,20","R$ 15.079,30","R$ 25.352,66","R$ 23.786,49","R$ 17.575,86","R$ 19.090,52","R$ 15.633,19","R$ 14.939,48","R$ 14.874,72","R$ 14.285,99","R$ 14.835,99","R$ 550,00",,"61.420,54","57.990,13","52.202,06","51.959,82","52.576,18","60.029,82","67.419,11","64.529,03","60.379,22","60.379,22",,
